iter	Passed	Remaining
757	85270	27223
758	85378	27109
759	85484	26995
760	85587	26879
761	85692	26764
762	85803	26651
763	85910	26537
764	86019	26424
765	86120	26308
766	86230	26195
767	86336	26080
768	86468	25974
769	86602	25868
770	86748	25765
771	86866	25654
772	87014	25552
773	87108	25434
774	87213	25319
775	87344	25212
776	87460	25101
777	87590	24993
778	87726	24887
779	87839	24775
780	87954	24663
781	88082	24554
782	88207	24445
783	88330	24336
784	88446	24224
785	88572	24115
786	88815	24037
787	88992	23942
788	89123	23833
789	89234	23720
790	89353	23609
791	89478	23499
792	89608	23390
793	89732	23280
794	89856	23170
795	89976	23059
796	90110	22951
797	90239	22842
798	90370	22734
799	90486	22621
800	90589	22505
801	90709	22394
802	90840	22285
803	90970	22176
804	91113	22070
805	91244	21962
806	91368	21851
807	91505	21743
808	91641	21636
809	91763	21524
810	91884	21413
811	92011	21303
812	92211	21209
813	92370	21106
814	92511	20999
815	92645	20890
816	92765	20778
817	92885	20666
818	93003	20553
819	93232	20465
820	93420	20368
821	93532	20254
822	93650	20141
823	93771	20028
824	93893	19916
825	94000	19801
826	94104	19685
827	94215	19571
828	94325	19456
829	94430	19341
830	94546	19227
831	94657	19113
832	94775	19000
833	94879	18884
834	94990	18770
835	95094	18654
836	95215	18542
837	95361	18435
838	95482	18322
839	95591	18207
840	95701	18093
841	95809	17978
842	95926	17865
843	96027	17749
844	96142	17635
845	96245	17519
846	96341	17402
847	96426	17284
848	96525	17167
849	96626	17051
850	96728	16936
851	96840	16822
852	96942	16706
853	97058	16593
854	97180	16480
855	97291	16366
856	97413	16254
857	97515	16138
858	97622	16024
859	97772	15916
860	97929	15809
861	98053	15697
862	98162	15583
863	98258	15466
864	98347	15349
865	98442	15232
866	98554	15118
867	98647	15001
868	98748	14886
869	98838	14768
870	98959	14656
871	99080	14543
872	99214	14433
873	99352	14323
874	99476	14210
875	99578	14095
876	99667	13978
877	99771	13863
878	99880	13749
879	99977	13633
880	100275	13544
881	100393	13431
882	100491	13315
883	100588	13199
884	100694	13084
885	100804	12970
886	100917	12856
887	101017	12740
888	101113	12624
889	101397	12532
890	101505	12417
891	101598	12301
892	101683	12183
893	101784	12068
894	101883	11952
895	101974	11836
896	102065	11719
897	102166	11604
898	102262	11488
899	102361	11373
900	102495	11261
901	102606	11147
902	102717	11033
903	102829	10919
904	102936	10805
905	103033	10689
906	103120	10573
907	103215	10457
908	103302	10341
909	103400	10226
910	103497	10111
911	103589	9995
912	103687	9880
913	103789	9765
914	103905	9652
915	104008	9537
916	104111	9423
917	104198	9307
918	104287	9191
919	104387	9077
920	104479	8961
921	104578	8847
922	104702	8734
923	104796	8619
924	104899	8505
925	104992	8390
926	105090	8275
927	105184	8160
928	105272	8045
929	105370	7931
930	105471	7816
931	105569	7702
932	105668	7588
933	105760	7473
934	105852	7358
935	105949	7244
936	106047	7130
937	106155	7016
938	106245	6901
939	106338	6787
940	106436	6673
941	106531	6559
942	106634	6445
943	106726	6331
944	106818	6216
945	106943	6104
946	107041	5990
947	107200	5880
948	107431	5773
949	107717	5669
950	107922	5560
951	108062	5448
952	108341	5343
953	108528	5233
954	108835	5128
955	109000	5016
956	109238	4908
957	109454	4798
958	109558	4683
959	109666	4569
960	109777	4455
961	109896	4341
962	110001	4226
963	110111	4112
964	110215	3997
965	110323	3883
966	110429	3768
967	110524	3653
968	110616	3538
969	110710	3424
970	110812	3309
971	110923	3195
972	111028	3080
973	111126	2966
974	111228	2852
975	111330	2737
976	111472	2624
977	111570	2509
978	111669	2395
979	111755	2280
980	111858	2166
981	111956	2052
982	112129	1939
983	112243	1825
984	112405	1711
985	112598	1598
986	112761	1485
987	112900	1371
988	113058	1257
989	113204	1143
990	113308	1029
991	113431	914
992	113547	800
993	113765	686
994	113968	572
995	114118	458
996	114263	343
997	114457	229
998	114718	114
999	114860	0
